name,office,office_full,party,party_full,state,district,district_number,election_districts,election_years,cycles,candidate_status,incumbent_challenge,incumbent_challenge_full,load_date,first_file_date,last_file_date,last_f2_date,candidate_id,active_through
"REYNOLDS, KENNETH ",H,House,UNK,UNKNOWN,NY,07,7,{07},{2010},"{2010,2012,2014,2016,2018}",N,C,Challenger,2010-11-30 22:37:46,2010-11-29,2010-11-29,2010-11-29,H0NY07068,2010
"GALLANT, RICK",H,House,DEM,DEMOCRATIC PARTY,NY,23,23,{23},{2018},{2018},C,C,Challenger,2017-09-15 21:00:12,2017-05-24,2017-05-24,2017-05-24,H8NY23142,2018
"TONKO, PAUL DAVID",H,House,DEM,DEMOCRATIC PARTY,NY,20,20,"{21,21,20,20,20,20}","{2008,2010,2012,2014,2016,2018}","{2008,2010,2012,2014,2016,2018}",C,I,Incumbent,2017-04-10 20:57:55,2008-05-06,2017-02-22,2017-02-22,H8NY21203,2018
"PREVIDI, ROBERT",H,House,REP,REPUBLICAN PARTY,NY,03,3,"{03,03,03,03,03,03,03,03,03,03,03}","{1988,1990,1992,1994,1996,1998,2000,2004,2006,2008,2010}","{1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014}",P,C,Challenger,2010-08-09 22:17:11,1988-06-28,2006-07-24,2006-07-24,H8NY03045,2010
"POWELL, KEVIN",H,House,DEM,DEMOCRATIC PARTY,NY,10,10,"{10,10,10}","{2006,2008,2010}","{2006,2008,2010,2012,2014,2016}",P,C,Challenger,2011-02-24 10:53:12,2006-04-07,2010-03-04,2010-03-04,H6NY10093,2010
"GOLDUP, TODD FRANCIS",H,House,UNK,UNKNOWN,NY,20,20,{20},{2008},"{2008,2010,2012,2014,2016,2018}",N,C,Challenger,2008-04-04 22:37:08,2008-02-12,2008-02-12,2008-02-12,H8NY20148,2008
"BELLAVIA, DAVID GREGORY",H,House,REP,REPUBLICAN PARTY,NY,27,27,"{26,27}","{2008,2012}","{2008,2012,2014,2016,2018}",P,C,Challenger,2013-04-26 09:04:30,2008-04-16,2012-03-30,2012-03-30,H8NY26087,2012
"MOHAN, RADHAKRISHNA",H,House,DEM,DEMOCRATIC PARTY,NY,11,11,{11},{2018},{2018},C,C,Challenger,2018-02-08 21:14:37,2017-10-28,2017-10-28,2017-10-28,H8NY11139,2018
"RIVERA, DANIEL VILA",H,House,GRE,GREEN PARTY,NY,13,13,"{13,13}","{2014,2016}","{2014,2016}",N,O,Open seat,2016-06-06 21:00:43,2014-06-16,2014-06-16,2014-06-16,H4NY13076,2016
"ABZUG, BELLA S",H,House,DEM,DEMOCRATIC PARTY,NY,20,20,{20},{1986},"{1986,1988,1990,1992,1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1986-06-20,1986-06-20,1986-06-20,H6NY20134,1986
"O'REILLY, MICHAEL",H,House,REP,REPUBLICAN PARTY,NY,05,5,{05},{2016},"{2016,2018}",P,C,Challenger,2017-02-23 14:47:46,2016-03-23,2016-03-23,2016-03-23,H6NY05077,2016
"SWEETLAND, DALE A",H,House,REP,REPUBLICAN PARTY,NY,25,25,{25},{2008},"{2008,2010}",C,C,Challenger,2008-07-24 00:00:00,2008-04-15,2008-04-15,2008-04-15,H8NY25071,2008
"BOYAJIAN, DON",H,House,DEM,DEMOCRATIC PARTY,NY,21,21,{21},{2018},{2018},C,C,Challenger,2017-10-17 22:53:08,2017-08-01,2017-08-01,2017-08-01,H8NY21286,2018
"KAIMAN, JON",H,House,DEM,DEMOCRATIC PARTY,NY,03,3,"{03,03}","{2016,2018}","{2016,2018}",C,C,Challenger,2017-05-05 21:04:59,2016-01-28,2016-11-21,2016-11-21,H6NY03254,2018
"MCMASTERS, THOMAS FRANKLIN",H,House,DEM,DEMOCRATIC PARTY,NY,31,31,{31},{1988},{1988},N,O,Open seat,2005-05-26 00:00:00,1988-03-28,1988-03-28,1988-03-28,H8NY31038,1988
"MARTINS, JACK M",H,House,REP,REPUBLICAN PARTY,NY,04,4,{04},{2008},"{2008,2010}",C,C,Challenger,2008-07-24 00:00:00,2008-05-28,2008-05-28,2008-05-28,H8NY04076,2008
"ATANASIO, PAUL M",H,House,CRV,CONSERVATIVE PARTY,NY,15,15,{15},{1980},"{1980,1982,1984,1986,1988,1990,1992}",P,C,Challenger,2002-03-30 00:00:00,1980-02-21,1980-02-21,1980-02-21,H0NY15012,1980
"HINCHEY, MAURICE D",H,House,DEM,DEMOCRATIC PARTY,NY,19,19,"{26,26,26,26,26,22,22,22,22,22,19}","{1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012}","{1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014}",P,C,Challenger,2013-04-26 09:04:30,1992-07-21,2012-04-10,2012-04-10,H2NY26080,2012
"SPERLING, MATTHEW WARNER",H,House,DEM,DEMOCRATIC PARTY,NY,08,8,{08},{1996},{1996},C,C,Challenger,2002-04-02 00:00:00,1996-04-08,1996-04-08,1996-04-08,H6NY08071,1996
"BUHRMASTER, MARGARET B",H,House,REP,REPUBLICAN PARTY,NY,23,23,{23},{1990},"{1990,1992}",P,C,Challenger,2002-03-30 00:00:00,1990-07-25,1990-07-25,1990-07-25,H0NY23032,1990
"LEVIN, LEW Y",H,House,REP,REPUBLICAN PARTY,NY,13,13,{13},{1984},"{1984,1986,1988,1990,1992,1994}",P,C,Challenger,2002-03-30 00:00:00,1984-08-15,1984-08-15,1984-08-15,H4NY13019,1984
"CLEGG, DAVID J",H,House,DEM,DEMOCRATIC PARTY,NY,19,19,{19},{2018},{2018},C,C,Challenger,2017-10-24 21:01:05,2017-07-02,2017-07-02,2017-07-02,H8NY19231,2018
"PATTISON, EDWARD W.",H,House,DEM,DEMOCRATIC PARTY,NY,29,29,"{29,29}","{1976,1978}","{1976,1978,1980,1982,1984}",P,C,Challenger,2002-03-30 00:00:00,1976-03-29,1977-12-28,1977-12-28,H6NY29044,1978
"WALSH, JAMES T",H,House,REP,REPUBLICAN PARTY,NY,25,25,"{27,27,25,25,25,25,25,25,25,25,25}","{1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008}","{1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016}",P,C,Challenger,2007-12-12 21:44:16,1988-04-09,2007-01-16,2007-01-16,H8NY27036,2008
"SHUR, DIANE",H,House,SWP,SOCIALIST WORKERS PARTY,NY,28,28,{28},{1978},"{1978,1980,1982,1984}",P,,,2002-03-30 00:00:00,1978-05-24,1978-05-24,1978-05-24,H8NY28026,1978
"PHILLIPS, GEORGE K",H,House,REP,REPUBLICAN PARTY,NY,22,22,"{22,22,22}","{2008,2010,2012}","{2008,2010,2012,2014}",P,O,Open seat,2013-04-26 09:04:30,2007-11-08,2011-01-06,2011-01-06,H8NY22102,2012
"MOULTRIE, ANNE JACOBS",H,House,DEM,DEMOCRATIC PARTY,NY,18,18,{18},{2012},{2012},N,C,Challenger,2012-07-27 22:14:12,2012-07-09,2012-07-09,2012-07-09,H2NY18079,2012
"FISHER, JACK R",H,House,IND,INDEPENDENT,NY,01,1,{01},{2000},"{2000,2002}",N,C,Challenger,2002-04-12 00:00:00,2000-09-01,2000-09-01,2000-09-01,H0NY01111,2000
"RANDOLPH, JOHN F.",H,House,DEM,DEMOCRATIC PARTY,NY,01,1,{01},{1978},"{1978,1980}",P,C,Challenger,2002-03-30 00:00:00,1978-05-15,1978-05-15,1978-05-15,H8NY01015,1978
"TYTLER, BRUCE R",H,House,DEM,DEMOCRATIC PARTY,NY,24,24,{24},{2006},{2006},C,O,Open seat,2006-07-21 00:00:00,2006-01-30,2006-02-28,2006-02-28,H6NY29176,2006
"MADIGAN, MICHAEL H",H,House,IND,INDEPENDENT,NY,26,26,{26},{2012},"{2012,2014,2016}",P,C,Challenger,2013-04-26 09:04:30,2012-05-21,2012-05-21,2012-05-21,H2NY26171,2012
"HUSSAIN, RIAZ B",H,House,REP,REPUBLICAN PARTY,NY,11,11,{11},{1988},"{1988,1990,1992}",P,C,Challenger,2002-03-30 00:00:00,1988-02-19,1988-02-19,1988-02-19,H8NY11014,1988
"SAUL, ANDREW MARSHALL",H,House,REP,REPUBLICAN PARTY,NY,19,19,{19},{2008},{2008},C,C,Challenger,2008-01-31 00:00:00,2007-04-23,2008-01-09,2008-01-09,H8NY19132,2008
"TEDISCO, JAMES",H,House,REP,REPUBLICAN PARTY,NY,20,20,{20},{2009},{2010},P,O,Open seat,2010-03-30 21:46:04,2009-02-02,2009-02-23,2009-02-23,H0NY00048,2009
"JUNTIKKA, CHARLES WAYNE",H,House,DEM,DEMOCRATIC PARTY,NY,14,14,{14},{1992},"{1992,1994,1996,1998}",P,C,Challenger,2002-04-03 00:00:00,1992-03-27,1992-03-27,1992-03-27,H2NY15042,1992
"DUANE, THOMAS K",H,House,DEM,DEMOCRATIC PARTY,NY,08,8,{08},{1994},"{1994,1996,1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1994-03-18,1994-03-18,1994-03-18,H4NY08027,1994
"TASKER-ROTHENBERG, YVONNE",H,House,DEM,DEMOCRATIC PARTY,NY,25,25,{25},{1998},"{1998,2000,2002}",P,C,Challenger,2002-04-12 00:00:00,1998-05-05,1998-05-05,1998-05-05,H8NY25048,1998
"MITTLEMAN, GARY",H,House,DEM,DEMOCRATIC PARTY,NY,21,21,{21},{2008},{2008},C,O,Open seat,2008-04-21 00:00:00,2008-02-13,2008-03-24,2008-03-24,H8NY21153,2008
"WAGER, RICHARD C",H,House,REP,REPUBLICAN PARTY,NY,20,20,{20},{2008},"{2008,2010,2012}",P,C,Challenger,2008-01-07 21:45:39,2007-05-04,2007-07-05,2007-07-05,H8NY20106,2008
"PECHEFSKY, DAVID",H,House,DEM,DEMOCRATIC PARTY,NY,01,1,{01},{2018},{2018},C,C,Challenger,2018-02-17 09:16:21,2017-07-20,2018-02-16,2018-02-16,H8NY01163,2018
"SULLIVAN, MICHAEL T",H,House,DEM,DEMOCRATIC PARTY,NY,05,5,{05},{1986},"{1986,1988,1990,1992,1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1986-07-25,1986-07-25,1986-07-25,H6NY05044,1986
"OTTINGER, RICHARD L",H,House,DEM,DEMOCRATIC PARTY,NY,20,20,"{24,24,24,20}","{1976,1978,1980,1982}","{1976,1978,1980,1982,1984,1986}",P,C,Challenger,2002-03-30 00:00:00,1976-07-13,1982-07-09,1982-07-09,H6NY24060,1982
"GARCIA, ROBERT 'BOB' CONGRESSMAN",H,House,DEM,DEMOCRATIC PARTY,NY,18,18,"{21,18,18,18,18}","{1980,1982,1984,1986,1988}","{1978,1980,1982,1984,1986,1988,1990,1992,1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1977-12-30,1987-07-31,1987-07-31,H8NY21013,1988
